_created,_id,_index,_ip,_fivetran_synced,headers,data
2026-02-13T03:22:17.632Z,18472392182807112,0,52.4.131.222,2026-02-13T05:31:19.885Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""0576b0a78e1fc8db26e7fc63d55950fe""],""X-Real-IP"":[""52.4.131.222""],""X-Forwarded-For"":[""52.4.131.222""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1731""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""62f959ac-0ee3-c0db-f438-5f83b9b027b3"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-02-13T03:22:16Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/e772ff99-566d-44b8-b565-8659e48d6adc""],""detail"":{""transactionId"":""e772ff99-566d-44b8-b565-8659e48d6adc"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""5fb9884a-b9c8-4cae-8a5f-b7879601c3fa"",""processedAt"":""2026-02-13T03:22:16.065Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/e772ff99-566d-44b8-b565-8659e48d6adc/input"",""sizeBytes"":1639,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/e772ff99-566d-44b8-b565-8659e48d6adc/output"",""sizeBytes"":10920,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":190},""functionalGroup"":{""controlNumber"":190,""release"":""005010X221A1"",""date"":""2026-02-13"",""time"":""03:22:02"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-02-19T02:52:24.511Z,18569788942451755,0,54.164.233.105,2026-02-19T05:31:19.891Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""b8656b1af3b67fb538472572a4829665""],""X-Real-IP"":[""54.164.233.105""],""X-Forwarded-For"":[""54.164.233.105""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1730""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""8738c027-d067-48d4-102e-3c09db643569"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-02-19T02:52:23Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/7694271e-a990-4cd0-89e4-ab0c58ea9518""],""detail"":{""transactionId"":""7694271e-a990-4cd0-89e4-ab0c58ea9518"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""08702679-9ef6-497a-8555-cb03d71490c5"",""processedAt"":""2026-02-19T02:52:22.924Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/7694271e-a990-4cd0-89e4-ab0c58ea9518/input"",""sizeBytes"":1111,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/7694271e-a990-4cd0-89e4-ab0c58ea9518/output"",""sizeBytes"":7319,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":200},""functionalGroup"":{""controlNumber"":200,""release"":""005010X221A1"",""date"":""2026-02-19"",""time"":""02:51:51"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-03-05T03:22:46.896Z,18827292738878535,0,3.222.145.44,2026-03-05T05:31:19.777Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""dc12368ba9811fcdb9c5ecd7617a292c""],""X-Real-IP"":[""3.222.145.44""],""X-Forwarded-For"":[""3.222.145.44""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1733""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""34bb3b91-ee9c-db7e-0461-c74ece2730fa"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-03-05T03:22:45Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/c403c2a4-c09c-408f-9099-b5757fe5d31f""],""detail"":{""transactionId"":""c403c2a4-c09c-408f-9099-b5757fe5d31f"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""950fdc11-1331-41ff-841c-8abcec65dd2d"",""processedAt"":""2026-03-05T03:22:45.379Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/c403c2a4-c09c-408f-9099-b5757fe5d31f/input"",""sizeBytes"":41417,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/c403c2a4-c09c-408f-9099-b5757fe5d31f/output"",""sizeBytes"":293574,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":205},""functionalGroup"":{""controlNumber"":205,""release"":""005010X221A1"",""date"":""2026-03-05"",""time"":""03:22:11"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-03-03T18:37:47.597Z,18821002371023752,0,18.215.79.64,2026-03-03T23:31:19.529Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""67ed00be338628c193ab4f6b4b07ee62""],""X-Real-IP"":[""18.215.79.64""],""X-Forwarded-For"":[""18.215.79.64""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1732""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""40b995d1-d1f7-4f01-97d0-c6f8a4016f37"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-03-03T18:37:46Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/c0a454f5-2296-4f32-b9c2-1d1c32da9596""],""detail"":{""transactionId"":""c0a454f5-2296-4f32-b9c2-1d1c32da9596"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""92bf74df-bfae-4722-abc1-49055c09ac22"",""processedAt"":""2026-03-03T18:37:45.930Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/c0a454f5-2296-4f32-b9c2-1d1c32da9596/input"",""sizeBytes"":14789,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/c0a454f5-2296-4f32-b9c2-1d1c32da9596/output"",""sizeBytes"":96246,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":204},""functionalGroup"":{""controlNumber"":204,""release"":""005010X221A1"",""date"":""2026-03-03"",""time"":""18:37:11"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-02-27T08:07:47.174Z,18667289166387689,0,18.215.79.64,2026-02-27T11:31:19.949Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""dc4abdfd54f209b9283dbf036430b0d9""],""X-Real-IP"":[""18.215.79.64""],""X-Forwarded-For"":[""18.215.79.64""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1731""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""f4bb0da5-67bd-f9fd-9b98-b4f8525c1492"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-02-27T08:07:45Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/8c4f8482-c683-4db3-80ef-72cb29b3980a""],""detail"":{""transactionId"":""8c4f8482-c683-4db3-80ef-72cb29b3980a"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""b05b4328-5646-4009-b2bc-a96721cf0f8f"",""processedAt"":""2026-02-27T08:07:45.612Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/8c4f8482-c683-4db3-80ef-72cb29b3980a/input"",""sizeBytes"":5475,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/8c4f8482-c683-4db3-80ef-72cb29b3980a/output"",""sizeBytes"":35952,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":203},""functionalGroup"":{""controlNumber"":203,""release"":""005010X221A1"",""date"":""2026-02-27"",""time"":""08:07:26"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-02-26T03:22:45.068Z,18659594689251096,0,52.4.131.222,2026-02-26T05:31:19.881Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""5e544bcb4473de072afb8d94c1ec9789""],""X-Real-IP"":[""52.4.131.222""],""X-Forwarded-For"":[""52.4.131.222""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1731""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""796ef3ce-cca2-1e24-40f0-d6ba824b5c26"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-02-26T03:22:43Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/09223312-5b67-4b47-961d-fd1ae8c5450c""],""detail"":{""transactionId"":""09223312-5b67-4b47-961d-fd1ae8c5450c"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""cf3bfcba-b422-412b-b8bc-538e359e5509"",""processedAt"":""2026-02-26T03:22:43.521Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/09223312-5b67-4b47-961d-fd1ae8c5450c/input"",""sizeBytes"":2475,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/09223312-5b67-4b47-961d-fd1ae8c5450c/output"",""sizeBytes"":17082,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":202},""functionalGroup"":{""controlNumber"":202,""release"":""005010X221A1"",""date"":""2026-02-26"",""time"":""03:22:10"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-02-24T08:53:29.683Z,18637604499036796,0,3.232.65.177,2026-02-24T11:31:19.775Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""c7f88156a513de2991abffcbae5e26ee""],""X-Real-IP"":[""3.232.65.177""],""X-Forwarded-For"":[""3.232.65.177""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1729""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""92f19efb-0944-23e7-c39c-a067793f0173"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-02-24T08:53:28Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/37bf85a2-858c-4f1e-bf41-eca1de670c1c""],""detail"":{""transactionId"":""37bf85a2-858c-4f1e-bf41-eca1de670c1c"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""723da567-daea-4e2b-ab94-a36b3f161c0f"",""processedAt"":""2026-02-24T08:53:28.115Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/37bf85a2-858c-4f1e-bf41-eca1de670c1c/input"",""sizeBytes"":641,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/37bf85a2-858c-4f1e-bf41-eca1de670c1c/output"",""sizeBytes"":4028,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":201},""functionalGroup"":{""controlNumber"":201,""release"":""005010X221A1"",""date"":""2026-02-24"",""time"":""08:52:53"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-03-12T02:37:31.494Z,18865115707007947,0,3.222.145.44,2026-03-12T04:31:20.174Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""36b0958188a8b34d849740ba0dfa74d6""],""X-Real-IP"":[""3.222.145.44""],""X-Forwarded-For"":[""3.222.145.44""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1733""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""c054ff29-4514-ae33-5df1-d7e293a71354"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-03-12T02:37:30Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/4b699ff9-9144-4d18-be36-f675cd9d834a""],""detail"":{""transactionId"":""4b699ff9-9144-4d18-be36-f675cd9d834a"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""3e6daa3b-8f50-4858-bdaf-1e97e152c42f"",""processedAt"":""2026-03-12T02:37:29.924Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/4b699ff9-9144-4d18-be36-f675cd9d834a/input"",""sizeBytes"":42633,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/4b699ff9-9144-4d18-be36-f675cd9d834a/output"",""sizeBytes"":293124,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":250},""functionalGroup"":{""controlNumber"":250,""release"":""005010X221A1"",""date"":""2026-03-12"",""time"":""02:36:55"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-03-10T01:52:19.472Z,18851828056798199,0,54.205.38.236,2026-03-10T04:31:20.198Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""a35d75b0e739743b366fecd56ced3303""],""X-Real-IP"":[""54.205.38.236""],""X-Forwarded-For"":[""54.205.38.236""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1729""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""8c22a733-dce7-53b2-0769-0a7f0de7ee51"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-03-10T01:52:18Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/895e84b3-7f1d-4cfc-b401-245c912ae816""],""detail"":{""transactionId"":""895e84b3-7f1d-4cfc-b401-245c912ae816"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""bd38e4fc-3066-4f43-a3e6-133b0086bac4"",""processedAt"":""2026-03-10T01:52:17.973Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/895e84b3-7f1d-4cfc-b401-245c912ae816/input"",""sizeBytes"":619,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/895e84b3-7f1d-4cfc-b401-245c912ae816/output"",""sizeBytes"":3899,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":230},""functionalGroup"":{""controlNumber"":230,""release"":""005010X221A1"",""date"":""2026-03-10"",""time"":""01:52:00"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
2026-03-11T02:22:35.291Z,18619606831024865,0,54.164.233.105,2026-03-11T04:31:19.672Z,"{""Host"":[""webhooks.fivetran.com""],""X-Request-ID"":[""ea9b6849c656bb5fd60644ef2e4e757c""],""X-Real-IP"":[""54.164.233.105""],""X-Forwarded-For"":[""54.164.233.105""],""X-Forwarded-Host"":[""webhooks.fivetran.com""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""],""X-Forwarded-Scheme"":[""https""],""X-Scheme"":[""https""],""Content-Length"":[""1729""],""User-Agent"":[""Amazon/EventBridge/ApiDestinations""],""Range"":[""bytes=0-1048575""],""Content-Type"":[""application/json; charset=UTF-8""],""Accept-Encoding"":[""gzip,deflate""]}","{""event"":{""version"":""0"",""id"":""d17ad482-3766-0cb4-3f22-06831c708f18"",""detail-type"":""transaction.processed.v2"",""source"":""stedi.core"",""account"":""833020880578"",""time"":""2026-03-11T02:22:33Z"",""region"":""us-east-1"",""resources"":[""https://core.us.stedi.com/2023-08-01/transactions/2a2f6a8a-3603-42d9-a63c-17c5c6475371""],""detail"":{""transactionId"":""2a2f6a8a-3603-42d9-a63c-17c5c6475371"",""direction"":""INBOUND"",""mode"":""production"",""status"":""succeeded"",""fileExecutionId"":""e4921e3a-6b86-4d17-8fc9-551da18ac4e2"",""processedAt"":""2026-03-11T02:22:33.703Z"",""fragments"":null,""artifacts"":[{""artifactType"":""application/edi-x12"",""usage"":""input"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/2a2f6a8a-3603-42d9-a63c-17c5c6475371/input"",""sizeBytes"":619,""model"":""transaction""},{""artifactType"":""application/json"",""usage"":""output"",""url"":""https://core.us.stedi.com/2023-08-01/transactions/2a2f6a8a-3603-42d9-a63c-17c5c6475371/output"",""sizeBytes"":3899,""model"":""transaction""}],""partnership"":{""partnershipId"":""local-clearinghouse"",""partnershipType"":""x12"",""sender"":{""profileId"":""clearinghouse""},""receiver"":{""profileId"":""local""}},""x12"":{""transactionSetting"":{""guideId"":""01K9D1SW3GEJXFWE6ARE5KD6X2"",""transactionSettingId"":""01K9D1T7C60RVAGATJMF988GFZ""},""metadata"":{""interchange"":{""acknowledgmentRequestedCode"":""0"",""controlNumber"":237},""functionalGroup"":{""controlNumber"":237,""release"":""005010X221A1"",""date"":""2026-03-11"",""time"":""02:22:10"",""functionalIdentifierCode"":""HP""},""transaction"":{""controlNumber"":""0001"",""transactionSetIdentifier"":""835""},""receiver"":{""applicationCode"":""833020880578"",""isa"":{""qualifier"":""ZZ"",""id"":""833020880578""}},""sender"":{""applicationCode"":""STEDI"",""isa"":{""qualifier"":""ZZ"",""id"":""STEDI""}}}},""connectionId"":""01K9D1TA1G8F898HRXWN6CH579""}}}"
